Deal Name,Account Name,Description,Closing Date,Stage
Feature Article: AI for Small Business Growth,Lumina Labs AI,Long-form feature article on how AI tools help small businesses scale operations; print & digital article opportunity with leading business outlet.,2025-12-20,Inquiry
Podcast Interview: Future of Everyday AI,Lumina Labs AI,Podcast interview on a tech trends show discussing practical AI use cases for non-technical founders; 45-minute podcast episode.,2025-12-28,Negotiation
Conference Speaking: Wellness Tech Keynote,ThriveWell Naturals,Paid speaking opportunity on main stage at a wellness technology conference; live speaking slot plus post-event article recap.,2026-01-15,Inquiry
Beauty Feature: Clean Skincare Innovators,ThriveWell Naturals,Editorial beauty feature article highlighting innovative clean skincare brands for a major digital magazine; includes product photography and quote requests.,2025-12-22,Pitched
Design Profile: Studio Tour & Founder Story,Urban Canvas Studio,Photo-forward feature article and short video segment touring the studio and interviewing the founder; lifestyle article plus social content.,2026-01-05,Negotiation
Podcast Panel: Designing Small Spaces,Urban Canvas Studio,Remote podcast panel discussion on interior design for small urban spaces; multi-guest podcast episode with Q&A.,2025-12-30,Inquiry
Expert Quote Roundup: Money Moves for 2026,Elevate Financial Group,Quote request for expert commentary in a personal finance article about strategic money moves for 2026; digital article with byline mention.,2025-12-18,Pitched
Webinar Speaking: Financial Readiness for Founders,Elevate Financial Group,Live webinar speaking opportunity hosted by a startup accelerator; speaking plus Q&A session, recorded for later replay.,2026-01-10,Negotiation
TV Segment: New Year Fitness Trends,BoldWave Fitness,Morning TV show segment demonstrating new fitness trends and quick at-home workouts; live TV appearance with short interview.,2026-01-08,Inquiry
Podcast Interview: Building a Sustainable Fitness Brand,BoldWave Fitness,Founder-focused podcast interview on building a purpose-led fitness brand; podcast episode with social media clips.,2026-01-20,Pitched
Listicle Feature: Cities Leading the Micromobility Shift,GreenPath Mobility,Listicle-style digital article featuring cities and brands leading the micromobility movement; includes short profile and quote from GreenPath Mobility.,2025-12-27,Inquiry
Conference Panel: Sustainable Urban Transport,GreenPath Mobility,In-person conference panel speaking opportunity on sustainable transportation and equitable access; speaking + networking event, with recap article.,2026-01-25,Negotiation